Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000151748	SAV1	salvador family WW domain containing protein 1 	protein coding	Chromosome 14: 50632058-50668306reverse strand	-
ENSG00000065150	IPO5	importin 5 	protein coding	Chromosome 13: 97953658-98024296forward strand	-
ENSG00000241316	SUCLG2-AS1	SUCLG2 antisense RNA 1 (head to head) 	lncRNA	Chromosome 3: 67654669-67947713forward strand	-
ENSG00000181234	TMEM132C	transmembrane protein 132C 	protein coding	Chromosome 12: 128267403-128707915forward strand	-
ENSG00000173467	AGR3	"anterior gradient 3, protein disulphide isomerase family member "	protein coding	Chromosome 7: 16859412-16881987reverse strand	-
ENSG00000203867	RBM20	RNA binding motif protein 20 	protein coding	Chromosome 10: 110644336-110839468forward strand	-
ENSG00000214888	AL772337.1	nuclear pore associated protein 1 (NPAP1) pseudogene	transcribed unprocessed pseudogene	Chromosome 9: 87857015-87859599reverse strand	-
ENSG00000200795	RNU4-1	"RNA, U4 small nuclear 1 "	snRNA	Chromosome 12: 120293097-120293237reverse strand	-
ENSG00000103175	WFDC1	WAP four-disulfide core domain 1 	protein coding	Chromosome 16: 84294846-84329844forward strand	-
ENSG00000248591	AC109445.1	"cerebellar degeneration-related protein 2, 62kDa (CDR2) pseudogene"	processed pseudogene	Chromosome 5: 23456468-23456850forward strand	-
ENSG00000270104	AL670729.2	novel transcript	lncRNA	Chromosome 1: 228384114-228385016reverse strand	-
ENSG00000237090	MKRN8P	"makorin ring finger protein 8, pseudogene "	processed pseudogene	Chromosome 1: 42891094-42892430reverse strand	-
ENSG00000224259	LINC01133	long intergenic non-protein coding RNA 1133 	lncRNA	Chromosome 1: 159958035-159984750forward strand	-
ENSG00000125445	MRPS7	mitochondrial ribosomal protein S7 	protein coding	Chromosome 17: 75261674-75266376forward strand	-
ENSG00000060971	ACAA1	acetyl-CoA acyltransferase 1 	protein coding	Chromosome 3: 38103129-38137242reverse strand	-
ENSG00000211995	-	-	-	-	-
ENSG00000261886	AC005670.1	novel transcript	lncRNA	Chromosome 17: 46916770-46923034reverse strand	-
ENSG00000275302	CCL4	C-C motif chemokine ligand 4 	protein coding	Chromosome 17: 36103827-36105621forward strand	-
ENSG00000253102	AC004707.1	"novel transcript, antisense to LRRC59"	lncRNA	Chromosome 17: 50396438-50397888forward strand	-
ENSG00000252553	RNA5SP73	"RNA, 5S ribosomal pseudogene 73 "	rRNA pseudogene	Chromosome 1: 189666149-189666256reverse strand	-
ENSG00000259045	MTCO1P2	MT-CO1 pseudogene 2 	unprocessed pseudogene	Chromosome 14: 32484098-32484800reverse strand	-
ENSG00000269547	AC011455.2	novel protein	protein coding	Chromosome 19: 38915404-38949855reverse strand	-
ENSG00000216020	-	-	-	-	-
ENSG00000253083	RNA5SP106	"RNA, 5S ribosomal pseudogene 106 "	rRNA pseudogene	Chromosome 2: 147713455-147713554reverse strand	-
ENSG00000244286	ITGB5-AS1	ITGB5 antisense RNA 1 	lncRNA	Chromosome 3: 124781155-124787757forward strand	-
ENSG00000102471	NDFIP2	Nedd4 family interacting protein 2 	protein coding	Chromosome 13: 79481124-79556075forward strand	-
ENSG00000135164	DMTF1	cyclin D binding myb like transcription factor 1 	protein coding	Chromosome 7: 87152409-87196337forward strand	-
ENSG00000166152	C16orf78	chromosome 16 open reading frame 78 	protein coding	Chromosome 16: 49373804-49399431forward strand	-
ENSG00000255587	RAB44	"RAB44, member RAS oncogene family "	protein coding	Chromosome 6: 36697826-36733184forward strand	-
ENSG00000140598	EFL1	elongation factor like GTPase 1 	protein coding	Chromosome 15: 82130233-82262734reverse strand	-
ENSG00000267685	NTF6B	neurotrophin 6 beta (pseudogene) 	unprocessed pseudogene	Chromosome 19: 49038479-49039038reverse strand	-
ENSG00000236072	SRSF2P1	SRSF2 pseudogene 1 	processed pseudogene	Chromosome X: 34387722-34388464forward strand	-
ENSG00000213578	CPLX3	complexin 3 	protein coding	Chromosome 15: 74826627-74831802forward strand	-
ENSG00000188064	WNT7B	Wnt family member 7B 	protein coding	Chromosome 22: 45920366-45977162reverse strand	-
ENSG00000105559	PLEKHA4	pleckstrin homology domain containing A4 	protein coding	Chromosome 19: 48837097-48868617reverse strand	-
ENSG00000264953	-	-	-	-	-
ENSG00000261421	AC044798.1	novel transcript	lncRNA	Chromosome 16: 49159508-49162023forward strand	-
ENSG00000275485	AL512652.1	"novel transcript, sense intronic to N6AMT2"	lncRNA	Chromosome 13: 20768876-20769375reverse strand	-
ENSG00000274363	AC087742.1	novel transcript	lncRNA	Chromosome 17: 4267691-4268430forward strand	-
ENSG00000214433	GOLGA2P8	GOLGA2 pseudogene 8 	transcribed unprocessed pseudogene	Chromosome 15: 90291962-90295683forward strand	-
ENSG00000228113	AC003991.1	"novel transcript, antisense to STEAP4"	lncRNA	Chromosome 7: 88219359-88304367forward strand	-
ENSG00000213210	RPL32P17	ribosomal protein L32 pseudogene 17 	processed pseudogene	Chromosome 7: 148580401-148580799forward strand	-
ENSG00000214282	KRT8P14	keratin 8 pseudogene 14 	processed pseudogene	Chromosome X: 45632292-45633733reverse strand	-
ENSG00000261697	AC010531.4	"novel transcript, sense intronic to C16orf95"	lncRNA	Chromosome 16: 87262759-87292438reverse strand	-
ENSG00000261170	AC009053.3	"novel transcript, antisense to CLEC18B"	lncRNA	Chromosome 16: 74422120-74441937forward strand	-
ENSG00000144481	TRPM8	transient receptor potential cation channel subfamily M member 8 	protein coding	Chromosome 2: 233917373-234019522forward strand	-
ENSG00000253093	RNA5SP179	"RNA, 5S ribosomal pseudogene 179 "	rRNA pseudogene	Chromosome 5: 16853994-16854114forward strand	-
ENSG00000260310	AC027277.2	"novel transcript, sense intronic to EMP2"	lncRNA	Chromosome 16: 10576499-10578183reverse strand	-
ENSG00000114391	RPL24	ribosomal protein L24 	protein coding	Chromosome 3: 101681091-101686718reverse strand	-
ENSG00000226054	MEMO1P1	mediator of cell motility 1 pseudogene 1 	processed pseudogene	Chromosome 21: 36130489-36131376forward strand	-
ENSG00000274777	AC004792.1	-	misc RNA	Chromosome 19: 56848068-56848204forward strand	-
ENSG00000173706	HEG1	heart development protein with EGF like domains 1 	protein coding	Chromosome 3: 124965710-125055997reverse strand	-
ENSG00000265980	AC074237.1	novel transcript	lncRNA	Chromosome 18: 29278509-29361963reverse strand	-
ENSG00000261402	AL591222.1	novel transcript	lncRNA	Chromosome 9: 19926094-19929937forward strand	-
ENSG00000000419	DPM1	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic "	protein coding	Chromosome 20: 50934867-50958555reverse strand	-
ENSG00000158813	EDA	ectodysplasin A 	protein coding	Chromosome X: 69616067-70039472forward strand	-
ENSG00000200949	SNORD115-32	"small nucleolar RNA, C/D box 115-32 "	snoRNA	Chromosome 15: 25228967-25229048forward strand	-
ENSG00000197429	IPP	intracisternal A particle-promoted polypeptide 	protein coding	Chromosome 1: 45694324-45750653reverse strand	-
ENSG00000213431	AC080014.1	"family with sequence similarity 175, member A (FAM175A) pseudogene"	processed pseudogene	Chromosome 3: 100910975-100912175reverse strand	-
ENSG00000281446	-	-	-	-	-
ENSG00000264943	SH3GL1P2	"SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 2 "	processed pseudogene	Chromosome 17: 30624413-30625494forward strand	-
ENSG00000182310	SPACA6	sperm acrosome associated 6 	protein coding	Chromosome 19: 51689128-51712387forward strand	-
ENSG00000274767	AC243829.1	"novel transcript, antisense CCL3L3"	lncRNA	Chromosome 17: 36183235-36196471forward strand	-
ENSG00000123965	PMS2P5	"PMS1 homolog 2, mismatch repair system component pseudogene 5 "	unprocessed pseudogene	Chromosome 7: 74894116-74897835forward strand	-
ENSG00000270629	NBPF14	NBPF member 14 	protein coding	Chromosome 1: 148531385-148679742reverse strand	-
ENSG00000134575	ACP2	"acid phosphatase 2, lysosomal "	protein coding	Chromosome 11: 47239302-47248906reverse strand	-
ENSG00000102931	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein 	protein coding	Chromosome 16: 57245259-57253635forward strand	-
ENSG00000185024	BRF1	BRF1 RNA polymerase III transcription initiation factor subunit 	protein coding	Chromosome 14: 105209286-105315589reverse strand	-
ENSG00000272703	AP005137.2	novel transcript	lncRNA	Chromosome 18: 11857155-11857554reverse strand	-
ENSG00000213373	LINC00671	long intergenic non-protein coding RNA 671 	lncRNA	Chromosome 17: 42874670-42898704reverse strand	-
ENSG00000238150	AC008753.1	"ribosomal protein, large, P1 (RPLP1) pseudogene"	processed pseudogene	Chromosome 19: 53775599-53775882forward strand	-
ENSG00000198414	TATDN2P1	TatD DNase domain containing 2 pseudogene 1 	processed pseudogene	Chromosome X: 44283916-44286246forward strand	-
ENSG00000264370	MIR3125	microRNA 3125 	miRNA	Chromosome 2: 12737367-12737444forward strand	-
ENSG00000274064	AC040978.1	glyceraldehyde-3-phosphate dehydrogenase (GAPDH) pseudogene	processed pseudogene	Chromosome 8: 140039756-140041037forward strand	-
ENSG00000253134	AC025437.1	novel transcript	lncRNA	Chromosome 5: 158275711-158278813forward strand	-
ENSG00000252228	AL669914.1	-	snoRNA	Chromosome 6: 30132805-30132966reverse strand	-
ENSG00000223208	RNU6-1217P	"RNA, U6 small nuclear 1217, pseudogene "	snRNA	Chromosome 4: 119434005-119434108reverse strand	-
ENSG00000163202	LCE3D	late cornified envelope 3D 	protein coding	Chromosome 1: 152579381-152580516reverse strand	-
ENSG00000243953	AC073359.1	novel transcript	lncRNA	Chromosome 3: 154969283-154970223reverse strand	-
ENSG00000159961	OR3A3	olfactory receptor family 3 subfamily A member 3 	protein coding	Chromosome 17: 3411370-3424070forward strand	-
ENSG00000235245	AL360181.2	novel transcript	lncRNA	Chromosome 10: 133295187-133295977reverse strand	-
ENSG00000244257	PKD1P1	"polycystin 1, transient receptor potential channel interacting pseudogene 1 "	unprocessed pseudogene	Chromosome 16: 16310341-16334190forward strand	-
ENSG00000240791	MTND4LP7	MT-ND4L pseudogene 7 	unprocessed pseudogene	Chromosome 9: 92110575-92110868forward strand	-
ENSG00000166396	SERPINB7	serpin family B member 7 	protein coding	Chromosome 18: 63752935-63805376forward strand	-
ENSG00000121634	GJA8	gap junction protein alpha 8 	protein coding	Chromosome 1: 147902795-147909269forward strand	-
ENSG00000182600	SNORC	secondary ossification center associated regulator of chondrocyte maturation 	protein coding	Chromosome 2: 232857270-232878708forward strand	-
ENSG00000255241	AP005436.2	novel transcript	lncRNA	Chromosome 11: 88098591-88115835forward strand	-
ENSG00000228131	IGHD6-6	immunoglobulin heavy diversity 6-6 	IG D gene	Chromosome 14: 105910410-105910427reverse strand	-
ENSG00000252887	RNU6-430P	"RNA, U6 small nuclear 430, pseudogene "	snRNA	Chromosome 16: 89443318-89443424forward strand	-
ENSG00000157335	CLEC18C	C-type lectin domain family 18 member C 	protein coding	Chromosome 16: 70173322-70187361forward strand	-
ENSG00000235146	AC114498.1	novel transcript	lncRNA	Chromosome 1: 587629-594768forward strand	-
ENSG00000218350	LYPLA1P3	LYPLA1 pseudogene 3 	processed pseudogene	Chromosome 6: 71165076-71165770forward strand	-
ENSG00000217950	NOC2LP2	NOC2 like nucleolar associated transcriptional repressor pseudogene 2 	processed pseudogene	Chromosome 2: 131442644-131444587reverse strand	-
ENSG00000254091	AC022784.4	ubiquitin-conjugating enzyme E2 variant 1 (UBE2V1) pseudogene	processed pseudogene	Chromosome 8: 9233013-9233449forward strand	-
ENSG00000236885	AC018731.1	novel transcript	lncRNA	Chromosome 2: 151114811-151186209reverse strand	-
ENSG00000281138	-	-	-	-	-
ENSG00000237585	LINC00407	long intergenic non-protein coding RNA 407 	lncRNA	Chromosome 13: 44651812-44701016forward strand	-
ENSG00000104081	BMF	Bcl2 modifying factor 	protein coding	Chromosome 15: 40087890-40108892reverse strand	-
ENSG00000230759	AC095032.2	novel transcript	lncRNA	Chromosome 1: 103414879-103425465forward strand	-
ENSG00000281440	-	-	-	-	-
ENSG00000169006	NTSR2	neurotensin receptor 2 	protein coding	Chromosome 2: 11658178-11670195reverse strand	-
ENSG00000224722	AC020688.1	serine/arginine repetitive matrix 1 (SRRM1) pseudogene	processed pseudogene	Chromosome 8: 127086263-127087510reverse strand	-
ENSG00000230287	AL445928.1	novel pseudogene	processed pseudogene	Chromosome 1: 100249090-100249311forward strand	-
ENSG00000168036	CTNNB1	catenin beta 1 	protein coding	Chromosome 3: 41194741-41260096forward strand	-
ENSG00000272321	AP003355.2	"novel transcript, antisense to STK3"	lncRNA	Chromosome 8: 98436669-98439290forward strand	-
ENSG00000213716	FABP5P5	fatty acid binding protein 5 pseudogene 5 	processed pseudogene	Chromosome 5: 95973041-95973446reverse strand	-
ENSG00000263884	AP000845.1	novel transcript	lncRNA	Chromosome 18: 268148-270278forward strand	-
ENSG00000250084	BX510359.5	GAGE family member pseudogene	unprocessed pseudogene	Chromosome X: 52448587-52451138reverse strand	-
ENSG00000275772	AC244157.2	CMT1A duplicated region transcript 15-like 2 (CDRT15L2) pseudogene	processed pseudogene	Chromosome 22: 22785643-22787268reverse strand	-
ENSG00000249162	ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3 	processed pseudogene	Chromosome 4: 187746094-187748199reverse strand	-
ENSG00000070501	POLB	DNA polymerase beta 	protein coding	Chromosome 8: 42338454-42371808forward strand	-
ENSG00000258383	AL132819.1	novel transcript	lncRNA	Chromosome 14: 99324799-99332015reverse strand	-
ENSG00000230176	LINC01433	long intergenic non-protein coding RNA 1433 	lncRNA	Chromosome 20: 4192932-4195953forward strand	-
ENSG00000255528	AP003123.1	novel transcript	lncRNA	Chromosome 11: 109002465-109037967reverse strand	-
ENSG00000276742	AL731566.3	"novel transcript, antisense to NSMCE4A"	lncRNA	Chromosome 10: 121956782-121957098forward strand	-
ENSG00000226400	AC010385.1	"striatin, calmodulin binding protein (STRN) pseudogene"	processed pseudogene	Chromosome 5: 28927029-28927284forward strand	-
ENSG00000212191	AC017087.1	-	snoRNA	Chromosome 4: 178685886-178685956reverse strand	-
ENSG00000120733	KDM3B	lysine demethylase 3B 	protein coding	Chromosome 5: 138352685-138437028forward strand	-
ENSG00000180409	OR10AA1P	olfactory receptor family 10 subfamily AA member 1 pseudogene 	unprocessed pseudogene	Chromosome 1: 158808399-158809335reverse strand	-
ENSG00000235830	SRGAP3-AS4	SRGAP3 antisense RNA 4 	lncRNA	Chromosome 3: 9249742-9257507forward strand	-
ENSG00000258727	AL135999.1	"novel transcript, antisense to AP1G2"	lncRNA	Chromosome 14: 23561097-23568073forward strand	-
ENSG00000262292	AC007952.5	novel transcript	lncRNA	Chromosome 17: 19160789-19162274forward strand	-
ENSG00000151465	CDC123	cell division cycle 123 	protein coding	Chromosome 10: 12195965-12250589forward strand	-
ENSG00000231888	MTND5P15	MT-ND5 pseudogene 15 	processed pseudogene	Chromosome 3: 177010719-177011067reverse strand	-
ENSG00000265210	MIR4486	microRNA 4486 	miRNA	Chromosome 11: 19575310-19575372forward strand	-
ENSG00000110448	CD5	CD5 molecule 	protein coding	Chromosome 11: 61102489-61127852forward strand	-
ENSG00000225851	HLA-S	"major histocompatibility complex, class I, S (pseudogene) "	unprocessed pseudogene	Chromosome 6: 31382074-31382288reverse strand	-
ENSG00000221300	AC025750.2	-	snoRNA	Chromosome 2: 42440377-42440436forward strand	-
ENSG00000249145	LINC02517	long intergenic non-protein coding RNA 2517 	lncRNA	Chromosome 4: 8320105-8327165forward strand	-
ENSG00000203930	LINC00632	long intergenic non-protein coding RNA 632 	lncRNA	Chromosome X: 140709562-140793215forward strand	-
ENSG00000278406	AC013401.2	-	misc RNA	Chromosome 2: 192775943-192776073forward strand	-
ENSG00000134207	SYT6	synaptotagmin 6 	protein coding	Chromosome 1: 114089291-114153880reverse strand	-
ENSG00000244537	KRTAP4-2	keratin associated protein 4-2 	protein coding	Chromosome 17: 41177446-41178221reverse strand	-
ENSG00000254336	AC008694.2	pseudogene similar to part of ribosomal protein S3A RPS3A	processed pseudogene	Chromosome 5: 157604707-157605637reverse strand	-
ENSG00000237490	RPS27AP17	RPS27A pseudogene 17 	processed pseudogene	Chromosome X: 6989329-6989783forward strand	-
ENSG00000279325	AL136359.1	novel transcript	lncRNA	Chromosome 13: 53193667-53198540forward strand	-
ENSG00000264888	-	-	-	-	-
ENSG00000233449	MTATP6P14	MT-ATP6 pseudogene 14 	processed pseudogene	Chromosome 1: 106802755-106803427reverse strand	-
ENSG00000264092	RN7SL474P	"RNA, 7SL, cytoplasmic 474, pseudogene "	misc RNA	Chromosome 8: 16863196-16863496reverse strand	-
ENSG00000236238	AC093106.1	ribosomal protein S14 (RPS14) pseudogene	processed pseudogene	Chromosome 7: 131665507-131665858forward strand	-
ENSG00000250874	AC010595.1	novel transcript	lncRNA	Chromosome 5: 85663232-85664684forward strand	-
ENSG00000228125	AKIRIN1P2	akirin 1 pseudogene 2 	processed pseudogene	Chromosome X: 68132868-68133437forward strand	-
ENSG00000235993	AC007559.1	thioredoxin domain containing 17 (TXNDC17) pseudogene	processed pseudogene	Chromosome 2: 229701794-229702148forward strand	-
ENSG00000266581	MIR3166	microRNA 3166 	miRNA	Chromosome 11: 88176502-88176593forward strand	-
ENSG00000171084	FAM86JP	"family with sequence similarity 86 member J, pseudogene "	transcribed unprocessed pseudogene	Chromosome 3: 125916620-125930024forward strand	-
ENSG00000266173	STRADA	STE20 related adaptor alpha 	protein coding	Chromosome 17: 63682336-63741986reverse strand	-
ENSG00000276751	-	-	-	-	-
ENSG00000109917	ZPR1	ZPR1 zinc finger 	protein coding	Chromosome 11: 116773799-116788039reverse strand	-
ENSG00000261888	AC144831.1	novel transcript	lncRNA	Chromosome 17: 83104255-83106910forward strand	-
ENSG00000127124	HIVEP3	HIVEP zinc finger 3 	protein coding	Chromosome 1: 41506365-42035925reverse strand	-
ENSG00000095370	SH2D3C	SH2 domain containing 3C 	protein coding	Chromosome 9: 127738317-127778710reverse strand	-
ENSG00000274466	MIR1273H	microRNA 1273h 	miRNA	Chromosome 16: 24203116-24203231forward strand	-
ENSG00000275866	AC016991.1	"testis specific protein, Y-linked 1 (TSPY1) pseudogene"	processed pseudogene	Chromosome Y: 8517364-8517748reverse strand	-
ENSG00000111052	LIN7A	"lin-7 homolog A, crumbs cell polarity complex component "	protein coding	Chromosome 12: 80792520-80937934reverse strand	-
ENSG00000187730	GABRD	gamma-aminobutyric acid type A receptor subunit delta 	protein coding	Chromosome 1: 2019329-2030758forward strand	-
